videoId,viewsSubscriberRatioMinMaxScaler,title
-qzLDwLWqqs,0.011094657515661717,Google Nexus 6: Size Comparison - To Other Smartphones (Mockup)
vYuSWXoU2AQ,0.04576473652792864,iPhone 6s vs The Original iPhone (The First iPhone/iPhone 2G)
TVGtNz9AjHU,0.0035496315067627977,Galaxy S8 - 4 Months Later - Note 8 or S8?
7Lj1j09_-rM,0.003499389780121488,iPadOS 15 x iPad Pro M1 - Refined Evolution
69m2csQ1fy8,0.002527220799432058,Galaxy S8 Plus vs iPhone 7 Plus - ULTIMATE Comparison!
jteNhhYEngg,0.00031283355735615867,Next Level Smartphone Camera!
FOyoxhvVvq0,0.002334472967275424,Dell Skylake XPS 15 9550 Review: Best Windows Laptop? (4K/Infinity Edge)
g7lBKWABylU,0.0015789082090773433,iPhone 7 Plus: One Month Later - Review
q4dgHuWBv14,0.027125646031396295,iPad Pro 2018 Review - My Student Perspective
yZ2kdZnl5i8,0.004035526326159622,"Microsoft Surface Book Review & Experience: After 5 Months! (Intel i7, 512GB SSD, dGPU)"
pnPqeyp81w8,0.007959986834419418,"Apple Watch Review - After One Month (Stainless Steel, Black Band)"
zcliOpXH6a4,0.0001383784343961085,Nokia Lumia 830 Review
muilOetHtXU,6.057119666132963e-05,HTC Desire 601: Quick Review
u-gA9BpFyjQ,0.02274669178289049,Best Wireless Earbuds 2019 + Apple AirPods 2 Alternatives!
_QRE1W7mOrA,0.0016622602973948022,Top 5 iOS 14 Features!
32vhqVYosjg,0.0009042998081253333,"New Apple Watch 6, iPad Air and... NO iPHONE?! Sept 15th Apple Event Rumor Round Up!"
OzVKzH_v3Rk,0.0005921248176789893,2019 Microsoft Surfaces
REhG2aW3hbU,0.00043300971108103264,Scribble DEMO on new iPad OS!
btjv1eq2NWA,0.0006849860990402816,iPhone 12 Rumors
sOgvkUwwTa0,0.0015166362270828812,OnePlus 6 Unboxing!
bcTxfbYLbxw,0.0002585337154119765,"Everything new with Apple! M2 Pro and M2 Pro Max, MacBook and HomePod!"
